date ,open, highest ,lowest, close ,amout, vol ,str07
20151231,3570.47,3580.6,3538.35,3539.18,25403106918,176963659,58196211
20160104,3536.59,3538.69,3295.74,3296.26,24092916122,184418423,74121237
20160105,3196.65,3328.14,3189.6,3287.71,32841721446,266882083,47776163
20160106,3291.19,3362.97,3288.93,3361.84,28524321178,238886670,3671115
20160107,3309.66,3309.66,3115.89,3125,7998198579,70569123,73269277
20160108,3194.63,3235.45,3056.88,3186.41,32416713933,286440822,21431103
20160111,3131.85,3166.22,3016.7,3016.7,28637963878,271643691,72613942
20160112,3026.16,3047.66,2978.46,3022.86,22413543014,207659622,31851155
20160113,3041.11,3059.01,2949.29,2949.6,20837603738,194282106,68747367
20160114,2874.05,3012.29,2867.55,3007.65,21801366323,212905644,5637170
20160115,2988.05,3001.71,2883.87,2900.97,20660397670,198721697,69664874
20160118,2847.54,2945.45,2844.7,2913.84,17361997005,164699694,17236845
20160119,2914.41,3012.07,2906.4,3007.74,22267479654,205279703,590864
20160120,2993.01,3016.28,2951.92,2976.69,23456292864,216505474,48496929
20160121,2934.39,2998.79,2880.08,2880.48,20363457331,191675668,66125868
20160122,2911.11,2931.36,2851.73,2916.56,17006224998,159810734,7406491
20160125,2934.08,2955.78,2911.83,2938.51,16402340250,153039057,8323974
20160126,2907.72,2911.99,2743.84,2749.79,21260815565,210836054,67371031
20160127,2756.08,2768.77,2638.3,2735.56,20742668288,215722046,48169272
20160128,2711.16,2740.54,2647.49,2655.66,16735741542,171120280,64159818
20160129,2652.85,2755.37,2649.79,2737.6,18000681370,186673106,2098171
20160201,2730.98,2735.26,2655.62,2688.85,15283073843,156383744,50987275
20160202,2687.98,2755.16,2687.98,2749.57,15893680947,158078211,918542
20160203,2719.57,2746.07,2696.88,2739.25,14662711706,148397217,33620476
20160204,2751.43,2793.3,2751.31,2781.02,17534738432,170382018,2491380
20160205,2783.08,2790.06,2762.16,2763.49,14555363738,141186284,50004240
20160215,2684.96,2760.36,2682.09,2746.2,12932105830,129263932,46399815
20160216,2758.58,2840.62,2758.58,2836.57,19896913101,195961614,459797
20160217,2829.76,2868.7,2824.36,2867.34,22596424499,216909925,12714816
20160218,2881.78,2893.21,2857.7,2862.89,23077504614,219203873,39715231
20160219,2854.9,2872.72,2840.49,2860.02,17842484019,163391413,32113158
20160222,2888.6,2933.96,2880.35,2927.18,23868281651,232176042,1967088
20160223,2925.71,2928.05,2872.28,2903.33,21154894643,199740663,47841573
20160224,2889.88,2929.87,2872.27,2928.9,22785164902,213410384,21693101
20160225,2922.24,2922.24,2729.85,2741.25,27176714240,270284416,66912274
20160226,2760.06,2784.75,2715.87,2767.21,19006898176,191110472,25363066
20160229,2754.81,2755.89,2638.96,2687.98,19464019968,207410709,64290871
20160301,2688.38,2747.56,2668.76,2733.17,18218554163,187207443,4981690
20160302,2733.77,2852.7,2732.54,2849.68,25931875942,270961783,197642
20160303,2847.33,2878.45,2840.87,2859.76,27997192192,287478210,29819421
20160304,2848.54,2880.37,2808.85,2874.15,29498212352,312495169,53739733
20160307,2886.64,2911.84,2871.35,2897.34,20855932518,217466836,4916162
20160308,2895.67,2902.62,2802.56,2901.39,22051395994,233482661,33817075
