date ,open, highest ,lowest, close ,amout, vol ,str07
20150902 ,3172.13, 3347.01, 3163.24, 3311.43 ,42272604160.0, 437284866 ,43778277
20150907 ,3299.98, 3371.24, 3212.58, 3227.37 ,30223761408.0, 295726967 ,16384644
20150908 ,3200.05, 3325.91, 3154.5, 3321.43 ,26337807564.8, 254533446 ,1901426
20150909 ,3334.03, 3411.76, 3316.32, 3397.55 ,41218447769.6, 374123815 ,1770358
20150910 ,3342.41, 3397.76, 3330.27, 3350.19 ,29906508185.6, 272460668 ,49348767
20150911 ,3341.35, 3377.23, 3313.96, 3352.36 ,25223087718.4, 223785133 ,19202656
20150914 ,3374.32, 3383.03, 3194.51, 3263.37 ,37281025228.8, 345422657 ,55246921
20150915 ,3188.83, 3228.46, 3125.93, 3148.23 ,24345432883.2, 248463280 ,56492091
20150916 ,3140.73, 3334.28, 3125.42, 3302.15 ,28136813363.2, 276514578 ,787340
20150917 ,3280.87, 3357.23, 3232.01, 3232.8 ,33678245888.0, 316675235 ,53018728
20150918 ,3247.73, 3270.52, 3216.25, 3245.11 ,21793790361.6, 208495959 ,11141858
20150921 ,3217.96, 3309.94, 3206.23, 3306.42 ,25924417945.6, 239103324 ,2032502
20150922 ,3311.39, 3366.19, 3302.12, 3336.96 ,30461670195.2, 274101617 ,18088568
20150923 ,3286.71, 3314.24, 3252.08, 3263.71 ,25708488294.4, 235613267 ,48169139
20150924 ,3274.84, 3300.66, 3257.21, 3291.81 ,23105242726.4, 212409053 ,7209766
20150925 ,3279.37, 3299.43, 3208.19, 3239.04 ,24859616870.4, 235710752 ,53280879
20150928 ,3231.92, 3250.25, 3186.56, 3247.8 ,16619567513.6, 156389362 ,10224374
20150929 ,3200.0, 3213.7, 3164.25, 3182.06 ,16939805900.8, 162798469 ,51576962
20150930 ,3197.52, 3218.95, 3183.75, 3197.37 ,15634150195.2, 146300143 ,18940499
20151008 ,3305.71, 3322.61, 3281.56, 3292.29 ,25828628889.6, 233476552 ,1246082
20151009 ,3295.74, 3344.09, 3286.43, 3334.03 ,25599593676.8, 234273900 ,8717054
20151012 ,3344.91, 3475.96, 3339.46, 3443.41 ,43455817318.4, 384829038 ,1114997
20151013 ,3416.64, 3454.8, 3407.33, 3449.14 ,33418726604.8, 296259047 ,17039987
20151014 ,3435.28, 3463.96, 3410.4, 3416.9 ,32972026675.2, 294311638 ,47448245
20151015 ,3409.15, 3496.32, 3408.45, 3496.1 ,36185666355.2, 315290899 ,590721
20151016 ,3517.32, 3553.58, 3492.74, 3551.83 ,45845905408.0, 394134770 ,10355418
20151019 ,3562.56, 3585.48, 3514.44, 3547.08 ,45249354137.6, 377082668 ,35782995
20151020 ,3537.42, 3587.73, 3516.73, 3587.54 ,38288565862.4, 318010520 ,9896668
20151021 ,3590.9, 3610.68, 3420.06, 3478.12 ,51742949376.0, 457060856 ,55246903
20151022 ,3448.26, 3533.53, 3438.4, 3528.23 ,37464027955.2, 322628234 ,2098022
20151023 ,3537.44, 3583.91, 3519.2, 3573.85 ,42429631692.8, 345972205 ,5374764
20151026 ,3611.81, 3621.19, 3562.98, 3591.91 ,45308028518.4, 364307752 ,19006039
20151027 ,3570.46, 3604.46, 3490.25, 3596.86 ,40805620121.6, 326860728 ,32178585
20151028 ,3578.68, 3602.57, 3526.56, 3534.91 ,36109955891.2, 292661609 ,49676429
20151029 ,3548.08, 3573.09, 3521.53, 3547.49 ,29384799027.2, 234767987 ,13697707
20151030 ,3540.06, 3578.47, 3504.73, 3542.16 ,30601091481.6, 241887588 ,37093711
20151102 ,3494.93, 3551.03, 3479.05, 3481.94 ,28447778406.4, 229337716 ,45482198
20151103 ,3487.45, 3504.16, 3457.9, 3473.12 ,24388163993.6, 192245185 ,28049884
20151104 ,3482.49, 3622.99, 3482.49, 3622.98 ,42515542835.2, 337781718 ,922
20151105 ,3622.52, 3755.34, 3618.65, 3689.38 ,67779592192.0, 551995105 ,25821698
20151106 ,3680.57, 3766.54, 3674.63, 3759.86 ,54261124300.8, 428226854 ,1704819
20151109 ,3758.28, 3847.8, 3758.28, 3819.44 ,63520033996.8, 501635234 ,18940514
20151110 ,3788.46, 3843.2, 3778.51, 3812.72 ,55928828723.2, 428716437 ,30015940
20151111 ,3806.95, 3827.75, 3776.05, 3822.88 ,46714680115.2, 360051053 ,15991447
20151112 ,3829.78, 3832.38, 3773.55, 3804.63 ,48203366400.0, 360634412 ,35062149
