date ,open, highest ,lowest, close ,amout, vol ,str07
20150902 ,280.71, 294.48, 275.81, 280.73 ,53629888.0, 885287 ,2818053
20150907 ,283.6, 294.89, 283.6, 286.3 ,45211132.8, 741146 ,48
20150908 ,286.27, 302.4, 285.69, 301.34 ,53231216.0, 882019 ,48
20150909 ,304.24, 311.89, 302.62, 307.42 ,80694163.2, 1204163 ,48
20150910 ,305.19, 307.57, 301.39, 303.54 ,51599731.2, 801091 ,2818054
20150911 ,303.41, 310.87, 302.74, 310.79 ,53858982.4, 772690 ,262189
20150914 ,312.13, 313.0, 287.24, 289.88 ,76655436.8, 1208501 ,3211264
20150915 ,287.16, 293.33, 284.99, 286.69 ,45026256.0, 731165 ,2752517
20150916 ,286.6, 308.37, 286.6, 305.17 ,62412288.0, 1009946 ,48
20150917 ,303.97, 306.95, 298.41, 298.7 ,61080774.4, 927658 ,3080193
20150918 ,299.19, 303.55, 296.92, 302.62 ,50453136.0, 679439 ,393258
20150921 ,302.51, 310.91, 300.16, 310.81 ,55249433.6, 794030 ,131119
20150922 ,312.14, 313.31, 308.79, 311.74 ,45463619.2, 684538 ,1179673
20150923 ,309.06, 312.62, 307.22, 309.97 ,47515542.4, 709403 ,2097167
20150924 ,310.58, 313.74, 309.62, 312.07 ,31662937.6, 478670 ,327722
20150925 ,311.74, 313.13, 306.74, 308.01 ,37495545.6, 553119 ,3080194
20150928 ,307.88, 310.4, 304.26, 309.97 ,22672171.2, 338167 ,393259
20150929 ,308.02, 309.79, 305.91, 307.64 ,28853472.0, 424204 ,2883588
20150930 ,307.65, 309.86, 307.19, 309.71 ,22769776.0, 342306 ,458792
20151008 ,316.47, 320.0, 316.25, 317.67 ,54404364.8, 799498 ,49
20151009 ,317.84, 320.34, 317.03, 320.06 ,38318099.2, 577545 ,327722
20151012 ,321.22, 335.35, 321.22, 332.84 ,98284633.6, 1465678 ,48
20151013 ,331.62, 336.32, 330.2, 335.82 ,61881977.6, 894086 ,327721
20151014 ,335.15, 336.01, 332.21, 332.49 ,55725792.0, 766101 ,2752517
20151015 ,331.42, 340.95, 331.42, 340.7 ,70890035.2, 992952 ,46
20151016 ,341.57, 348.04, 339.42, 347.84 ,98875174.4, 1325805 ,65580
20151019 ,349.58, 349.68, 341.58, 344.29 ,81007987.2, 1029514 ,2621447
20151020 ,345.06, 348.51, 344.33, 348.28 ,69686284.8, 963238 ,327723
20151021 ,348.99, 350.0, 331.18, 332.64 ,107973376.0, 1394572 ,2949123
20151022 ,333.13, 343.39, 333.13, 343.32 ,81172902.4, 1111108 ,47
20151023 ,344.65, 352.31, 344.65, 351.35 ,96676512.0, 1400649 ,65583
20151026 ,354.34, 354.99, 348.7, 350.61 ,86220870.4, 1253101 ,1703957
20151027 ,349.44, 352.37, 342.77, 351.98 ,83101913.6, 1312039 ,917537
20151028 ,351.13, 352.07, 345.21, 346.12 ,55661318.4, 861675 ,2883585
20151029 ,347.43, 351.81, 347.04, 350.21 ,66040838.4, 908038 ,393257
20151030 ,351.05, 363.42, 348.46, 358.55 ,125586764.8, 1707530 ,262188
20151102 ,356.87, 361.02, 352.03, 353.18 ,154154560.0, 1613413 ,3014659
20151103 ,353.08, 355.57, 350.38, 353.26 ,47892438.4, 652243 ,1441815
20151104 ,353.63, 364.12, 353.63, 364.08 ,94896390.4, 1297012 ,65584
20151105 ,364.51, 367.64, 363.16, 364.63 ,87866048.0, 1259842 ,1769491
20151106 ,364.52, 369.52, 364.52, 369.41 ,67095494.4, 940179 ,65584
20151109 ,368.7, 375.14, 368.7, 374.19 ,98371500.8, 1381448 ,262189
20151110 ,373.7, 376.15, 371.71, 374.22 ,76680153.6, 1030139 ,1966097
20151111 ,374.23, 377.14, 373.58, 376.75 ,67540800.0, 921598 ,917537
20151112 ,376.97, 378.62, 374.09, 377.09 ,79896608.0, 1083188 ,2293774
20151113 ,376.24, 381.94, 374.67, 377.25 ,113170483.2, 1476372 ,2162702
20151116 ,372.5, 378.08, 371.74, 377.72 ,81008774.4, 1113033 ,983071
20151117 ,378.65, 383.38, 377.61, 378.3 ,96619865.6, 1307940 ,1310743
20151118 ,375.12, 378.44, 372.97, 373.39 ,67543526.4, 870308 ,2818055
20151119 ,372.64, 379.48, 372.64, 379.38 ,77313452.8, 930555 ,65586
20151120 ,379.02, 382.07, 378.59, 380.4 ,73857478.4, 910059 ,1179677
20151123 ,379.42, 380.42, 375.22, 375.89 ,79746796.8, 1084578 ,2686984
20151124 ,374.48, 377.45, 372.35, 377.45 ,48760000.0, 653182 ,786466
20151125 ,377.54, 384.8, 377.37, 384.76 ,84921824.0, 1133257 ,196655
20151126 ,385.6, 386.76, 382.09, 382.27 ,68871065.6, 853526 ,2555916
20151127 ,381.92, 381.92, 364.66, 366.97 ,116302182.4, 1503741 ,3342336
20151130 ,366.11, 382.54, 358.55, 381.26 ,223941478.4, 2615156 ,65586
20151201 ,381.81, 391.33, 379.14, 382.35 ,178591424.0, 1941562 ,1048607
20151202 ,382.62, 384.65, 376.64, 383.52 ,90971737.6, 1202030 ,1638421
20151203 ,383.72, 387.87, 383.26, 386.94 ,81793273.6, 987295 ,655397
20151204 ,385.9, 387.54, 383.93, 385.17 ,92119558.4, 1129981 ,2293775
20151207 ,386.84, 390.45, 385.33, 388.11 ,115747942.4, 1353846 ,1048606
20151208 ,387.78, 387.78, 382.04, 382.58 ,103704249.6, 1223965 ,2818056
20151209 ,381.81, 390.45, 380.97, 388.2 ,126316761.6, 1419839 ,786470
20151210 ,388.27, 392.85, 388.17, 389.63 ,117229952.0, 1304693 ,1048607
20151211 ,389.36, 392.37, 388.67, 390.38 ,118501068.8, 1396987 ,1310749
20151214 ,388.35, 397.09, 386.71, 396.7 ,116703641.6, 1502543 ,458795
20151215 ,396.69, 402.84, 396.69, 400.11 ,113012928.0, 1496612 ,393259
20151216 ,401.12, 404.23, 401.12, 403.1 ,96567078.4, 1176046 ,655397
20151217 ,403.82, 409.67, 403.82, 407.08 ,149013875.2, 1766084 ,720935
20151218 ,407.57, 410.28, 406.91, 408.81 ,126011891.2, 1462126 ,1245215
20151221 ,408.78, 420.55, 408.76, 420.41 ,150992307.2, 1723933 ,65585
20151222 ,421.46, 431.71, 421.46, 431.48 ,165011136.0, 1956681 ,131120
20151223 ,432.26, 436.94, 432.07, 432.83 ,152333209.6, 1778410 ,1966099
20151224 ,432.48, 434.74, 426.67, 432.98 ,137684928.0, 1607367 ,1835030
20151225 ,433.74, 442.78, 433.74, 442.76 ,142122764.8, 1656042 ,65585
20151228 ,444.42, 453.3, 407.55, 407.77 ,344853632.0, 4127282 ,3145730
20151229 ,403.18, 418.23, 397.89, 418.09 ,233959142.4, 2697934 ,458796
20151230 ,418.61, 431.24, 416.48, 426.66 ,197439820.8, 2328895 ,655400
20151231 ,427.17, 429.88, 423.28, 426.41 ,99610828.8, 1157542 ,1966098
20160104 ,426.0, 426.98, 396.85, 397.33 ,131083916.8, 1602514 ,3276800
20160105 ,389.42, 409.16, 389.11, 404.37 ,167593548.8, 2069439 ,589865
20160106 ,404.53, 408.97, 400.72, 408.79 ,123905740.8, 1627283 ,655398
20160107 ,403.37, 403.37, 377.74, 378.81 ,39128492.8, 488057 ,3342336
20160108 ,390.88, 394.04, 374.25, 387.48 ,158950105.6, 1995088 ,262190
20160111 ,382.26, 382.63, 356.09, 356.23 ,166546188.8, 2200966 ,3276800
20160112 ,356.91, 364.12, 353.18, 359.38 ,93094355.2, 1209927 ,524330
20160113 ,363.6, 368.04, 354.91, 355.4 ,97897600.0, 1212221 ,2621450
20160114 ,346.74, 366.84, 344.43, 365.1 ,104759904.0, 1348509 ,65586
20160115 ,363.99, 365.72, 354.91, 356.6 ,93132147.2, 1231922 ,3080196
20160118 ,350.9, 362.14, 348.92, 358.69 ,70056211.2, 949705 ,327726
20160119 ,358.09, 371.54, 358.09, 371.32 ,97866790.4, 1307565 ,65586
20160120 ,369.95, 371.67, 362.26, 364.79 ,91728204.8, 1253567 ,2883588
20160121 ,360.39, 366.08, 351.24, 351.24 ,93680761.6, 1284466 ,3407872
20160122 ,353.28, 357.53, 348.49, 355.74 ,70697363.2, 1045672 ,327725
20160125 ,357.75, 361.42, 356.71, 358.95 ,61243987.2, 881548 ,524329
20160126 ,357.28, 357.28, 340.44, 341.36 ,87256096.0, 1274358 ,3211265
20160127 ,341.77, 343.82, 330.06, 341.15 ,88286553.6, 1357120 ,2031635
20160128 ,339.43, 343.19, 334.78, 335.36 ,61087475.2, 934579 ,2949125
20160129 ,335.9, 346.29, 335.67, 344.86 ,71106310.4, 1032407 ,131120
20160201 ,344.66, 345.62, 338.42, 340.57 ,48071148.8, 750304 ,3014661
20160202 ,340.07, 349.1, 340.07, 348.4 ,54149056.0, 811114 ,51
20160203 ,346.49, 349.18, 344.09, 348.45 ,43006419.2, 638791 ,1703959
20160204 ,349.72, 354.24, 349.72, 353.56 ,61054464.0, 868453 ,131120
20160205 ,354.15, 356.71, 353.88, 354.33 ,54175820.8, 725308 ,2097169
20160215 ,345.94, 352.28, 345.55, 350.82 ,49461472.0, 660048 ,2752520
20160216 ,351.28, 358.15, 351.28, 357.14 ,63581280.0, 867660 ,65585
20160217 ,357.15, 360.43, 356.84, 360.36 ,60676422.4, 838497 ,458793
20160218 ,361.12, 364.24, 361.12, 362.71 ,74756691.2, 1098405 ,983069
20160219 ,362.79, 363.14, 360.47, 362.1 ,50731692.8, 709179 ,2097168
20160222 ,363.99, 368.48, 363.95, 367.99 ,78146406.4, 1033949 ,131119
20160223 ,367.84, 368.53, 364.07, 366.5 ,52075267.2, 696010 ,2424842
20160224 ,365.67, 369.44, 363.77, 369.25 ,71156921.6, 933023 ,655399
20160225 ,368.53, 368.53, 345.11, 347.48 ,118813248.0, 1682035 ,3211264
20160226 ,349.8, 353.97, 347.84, 352.46 ,62524192.0, 870862 ,47
20160229 ,352.08, 352.08, 335.45, 339.35 ,73738284.8, 1056288 ,3145729
20160301 ,340.7, 346.42, 338.34, 345.01 ,50837568.0, 701803 ,65583
20160302 ,345.0, 357.99, 344.88, 357.76 ,80504870.4, 1095330 ,48
20160303 ,357.84, 360.71, 356.67, 356.91 ,61967084.8, 834332 ,2359307
20160304 ,356.93, 358.86, 349.89, 352.85 ,55659744.0, 743267 ,2752517
20160307 ,354.5, 359.45, 354.5, 357.48 ,42157232.0, 558423 ,47
20160308 ,358.12, 358.22, 351.2, 358.02 ,51170368.0, 714015 ,1572883
20160309 ,355.26, 355.58, 351.15, 352.6 ,34584972.8, 501246 ,3080194
20160310 ,352.77, 355.04, 350.14, 350.48 ,27536368.0, 370611 ,2686981
20160311 ,349.36, 352.68, 348.61, 351.44 ,23397716.8, 316708 ,655397
20160314 ,352.97, 361.23, 352.97, 358.64 ,61986259.2, 800166 ,49
20160315 ,358.55, 359.53, 356.56, 358.1 ,40418099.2, 515226 ,1900557
20160316 ,358.46, 359.39, 353.41, 354.35 ,36741968.0, 478266 ,2949122
20160317 ,354.6, 360.99, 354.6, 359.92 ,52277638.4, 640800 ,47
20160318 ,360.32, 367.87, 360.32, 367.34 ,109088371.2, 1368359 ,47
20160321 ,369.95, 373.52, 369.95, 373.31 ,93898771.2, 1182996 ,47
20160322 ,372.81, 374.14, 370.71, 372.13 ,63033881.6, 835502 ,2228235
20160323 ,371.81, 373.72, 371.13, 373.66 ,55043468.8, 677644 ,524324
20160324 ,373.0, 373.87, 370.05, 370.11 ,60930208.0, 712139 ,2883587
20160325 ,369.51, 372.49, 369.33, 372.37 ,43257139.2, 521641 ,393255
20160328 ,373.03, 376.43, 371.27, 372.14 ,61832038.4, 704066 ,1703951
